Table Name Index System Call              Handler Address    Symbol                                                      
64bit        105                          0xffffffff81081bf0 SyS_setuid                                                  
64bit        106                          0xffffffff81081950 SyS_setgid                                                  
64bit        107                          0xffffffff810824b0 sys_geteuid                                                 
64bit        108                          0xffffffff81082510 sys_getegid                                                 
64bit        109                          0xffffffff810826e0 SyS_setpgid                                                 
64bit        110                          0xffffffff81082450 sys_getppid                                                 
64bit        111                          0xffffffff81082930 sys_getpgrp                                                 
64bit        112                          0xffffffff810829d0 sys_setsid                                                  
64bit        113                          0xffffffff81081a30 SyS_setreuid                                                
64bit        114                          0xffffffff810817d0 SyS_setregid                                                
64bit        115                          0xffffffff81096c00 sys_getgroups                                               
64bit        116                          0xffffffff81096cf0 sys_setgroups                                               
64bit        117                          0xffffffff81081d00 sys_setresuid                                               
64bit        118                          0xffffffff81081f10 SyS_getresuid                                               
64bit        119                          0xffffffff81081fc0 sys_setresgid                                               
64bit        120                          0xffffffff81082190 SyS_getresgid                                               
64bit        121                          0xffffffff810828b0 sys_getpgid                                                 
64bit        122                          0xffffffff81082240 SyS_setfsuid                                                
64bit        123                          0xffffffff81082330 SyS_setfsgid                                                
64bit        124                          0xffffffff81082950 SyS_getsid                                                  
64bit        125                          0xffffffff81074e30 sys_capget                                                  
64bit        126                          0xffffffff81074fb0 sys_capset                                                  
64bit        127                          0xffffffff8107eb80 sys_rt_sigpending                                           
64bit        128                          0xffffffff8107f2e0 sys_rt_sigtimedwait                                         
64bit        129                          0xffffffff8107f360 SyS_rt_sigqueueinfo                                         
64bit        130                          0xffffffff8107feb0 SyS_rt_sigsuspend                                           
64bit        131                          0xffffffff8107f740 sys_sigaltstack                                             
64bit        132                          0xffffffff811faab0 sys_utime                                                   
64bit        133                          0xffffffff811da900 sys_mknod                                                   
64bit        134                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        135                          0xffffffff8106ab30 SyS_personality                                             
64bit        136                          0xffffffff811fb980 SyS_ustat                                                   
64bit        137                          0xffffffff811fb820 sys_statfs                                                  
64bit        138                          0xffffffff811fb840 SyS_fstatfs                                                 
64bit        139                          0xffffffff811e8120 sys_sysfs                                                   
64bit        140                          0xffffffff81081550 sys_getpriority                                             
64bit        141                          0xffffffff810812c0 sys_setpriority                                             
64bit        142                          0xffffffff8109ec10 sys_sched_setparam                                          
64bit        143                          0xffffffff8109ec90 sys_sched_getparam                                          
64bit        144                          0xffffffff8109ebf0 sys_sched_setscheduler                                      
64bit        145                          0xffffffff8109ec30 sys_sched_getscheduler                                      
64bit        146                          0xffffffff8109eef0 SyS_sched_get_priority_max                                  
64bit        147                          0xffffffff8109ef30 SyS_sched_get_priority_min                                  
64bit        148                          0xffffffff8109ef70 SyS_sched_rr_get_interval                                   
64bit        149                          0xffffffff81187ac0 sys_mlock                                                   
64bit        150                          0xffffffff81187bf0 SyS_munlock                                                 
64bit        151                          0xffffffff81187c80 sys_mlockall                                                
64bit        152                          0xffffffff81187e10 sys_munlockall                                              
64bit        153                          0xffffffff811c90b0 sys_vhangup                                                 
64bit        154                          0xffffffff81017fb0 sys_modify_ldt                                              
64bit        155                          0xffffffff811ec400 SyS_pivot_root                                              
64bit        156                          0xffffffff81074a50 sys_sysctl                                                  
64bit        157                          0xffffffff81083580 sys_prctl                                                   
64bit        158                          0xffffffff810140e0 sys_arch_prctl                                              
64bit        159                          0xffffffff8106f680 sys_adjtimex                                                
64bit        160                          0xffffffff81083460 SyS_setrlimit                                               
64bit        161                          0xffffffff811c8630 sys_chroot                                                  
64bit        162                          0xffffffff811fa3f0 sys_sync                                                    
64bit        163                          0xffffffff810ea0c0 sys_acct                                                    
64bit        164                          0xffffffff8106f5d0 SyS_settimeofday                                            
64bit        165                          0xffffffff811ec250 sys_mount                                                   
64bit        166                          0xffffffff811eb680 SyS_umount                                                  
64bit        167                          0xffffffff8119a910 SyS_swapon                                                  
64bit        168                          0xffffffff8119a2e0 sys_swapoff                                                 
64bit        169                          0xffffffff81095d60 SyS_reboot                                                  
64bit        170                          0xffffffff81082cd0 SyS_sethostname                                             
64bit        171                          0xffffffff81082e90 sys_setdomainname                                           
64bit        172                          0xffffffff81768710 stub_iopl                                                   
64bit        173                          0xffffffff81017650 sys_ioperm                                                  
64bit        174                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        175                          0xffffffff810e80d0 SyS_init_module                                             
64bit        176                          0xffffffff810e6df0 SyS_delete_module                                           
64bit        177                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        178                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        179                          0xffffffff8122cb40 sys_quotactl                                                
64bit        180                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        181                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        182                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        183                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        184                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        185                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        186                          0xffffffff81082430 sys_gettid                                                  
64bit        187                          0xffffffff81165060 sys_readahead                                               
64bit        188                          0xffffffff811ef330 sys_setxattr                                                
