Table Name Index System Call              Handler Address    Symbol                                                      
32bit        105                          0xffffffff810ece70 compat_SyS_getitimer                                        
32bit        106                          0xffffffff8121c320 compat_sys_newstat                                          
32bit        107                          0xffffffff8121c360 compat_sys_newlstat                                         
32bit        108                          0xffffffff8121c3e0 compat_sys_newfstat                                         
32bit        109                          0xffffffff81082be0 SyS_uname                                                   
32bit        110                          0xffffffff81017830 SyS_iopl                                                    
32bit        111                          0xffffffff811c90b0 sys_vhangup                                                 
32bit        112                          0xffffffff810650f0 compat_ni_syscall                                           
32bit        113                          0xffffffff810644a0 sys32_vm86_warning                                          
32bit        114                          0xffffffff810ed8e0 compat_SyS_wait4                                            
32bit        115                          0xffffffff8119a2e0 sys_swapoff                                                 
32bit        116                          0xffffffff810839f0 compat_SyS_sysinfo                                          
32bit        117                          0xffffffff812ce420 compat_SyS_ipc                                              
32bit        118                          0xffffffff811fa580 SyS_fsync                                                   
32bit        119                          0xffffffff8176a4a0 stub32_sigreturn                                            
32bit        120                          0xffffffff8176a4e0 stub32_clone                                                
32bit        121                          0xffffffff81082e90 sys_setdomainname                                           
32bit        122                          0xffffffff81082b10 SyS_newuname                                                
32bit        123                          0xffffffff81017fb0 sys_modify_ldt                                              
32bit        124                          0xffffffff810ee370 compat_sys_adjtimex                                         
32bit        125                          0xffffffff8118ce20 sys_mprotect                                                
32bit        126                          0xffffffff810ed240 compat_sys_sigprocmask                                      
32bit        127                          0xffffffff810650f0 compat_ni_syscall                                           
32bit        128                          0xffffffff810e80d0 SyS_init_module                                             
32bit        129                          0xffffffff810e6df0 SyS_delete_module                                           
32bit        130                          0xffffffff810650f0 compat_ni_syscall                                           
32bit        131                          0xffffffff8122cdf0 sys32_quotactl                                              
32bit        132                          0xffffffff810828b0 sys_getpgid                                                 
32bit        133                          0xffffffff811c8590 sys_fchdir                                                  
32bit        134                          0xffffffff81200530 SyS_bdflush                                                 
32bit        135                          0xffffffff811e8120 sys_sysfs                                                   
32bit        136                          0xffffffff8106ab30 SyS_personality                                             
32bit        137                          0xffffffff810650f0 compat_ni_syscall                                           
32bit        138                          0xffffffff810e2640 SyS_setfsuid16                                              
32bit        139                          0xffffffff810e2670 sys_setfsgid16                                              
32bit        140                          0xffffffff811c96f0 SyS_llseek                                                  
32bit        141                          0xffffffff8121ce40 compat_sys_getdents                                         
32bit        142                          0xffffffff8121d4b0 compat_sys_select                                           
32bit        143                          0xffffffff8121ac50 sys_flock                                                   
32bit        144                          0xffffffff8118e120 sys_msync                                                   
32bit        145                          0xffffffff811caf10 compat_sys_readv                                            
32bit        146                          0xffffffff811cb080 compat_sys_writev                                           
32bit        147                          0xffffffff81082950 SyS_getsid                                                  
32bit        148                          0xffffffff811fa5a0 SyS_fdatasync                                               
32bit        149                          0xffffffff81074b10 compat_SyS_sysctl                                           
32bit        150                          0xffffffff81187ac0 sys_mlock                                                   
32bit        151                          0xffffffff81187bf0 SyS_munlock                                                 
32bit        152                          0xffffffff81187c80 sys_mlockall                                                
32bit        153                          0xffffffff81187e10 sys_munlockall                                              
32bit        154                          0xffffffff8109ec10 sys_sched_setparam                                          
32bit        155                          0xffffffff8109ec90 sys_sched_getparam                                          
32bit        156                          0xffffffff8109ebf0 sys_sched_setscheduler                                      
32bit        157                          0xffffffff8109ec30 sys_sched_getscheduler                                      
32bit        158                          0xffffffff8109ee70 sys_sched_yield                                             
32bit        159                          0xffffffff8109eef0 SyS_sched_get_priority_max                                  
32bit        160                          0xffffffff8109ef30 SyS_sched_get_priority_min                                  
32bit        161                          0xffffffff810ee610 compat_sys_sched_rr_get_interval                            
32bit        162                          0xffffffff810ecd70 compat_sys_nanosleep                                        
32bit        163                          0xffffffff8118ddf0 sys_mremap                                                  
32bit        164                          0xffffffff810e2360 SyS_setresuid16                                             
32bit        165                          0xffffffff810e23a0 SyS_getresuid16                                             
32bit        166                          0xffffffff810644a0 sys32_vm86_warning                                          
32bit        167                          0xffffffff810650f0 compat_ni_syscall                                           
32bit        168                          0xffffffff811de940 SyS_poll                                                    
32bit        169                          0xffffffff810650f0 compat_ni_syscall                                           
32bit        170                          0xffffffff810e24d0 sys_setresgid16                                             
32bit        171                          0xffffffff810e2510 SyS_getresgid16                                             
32bit        172                          0xffffffff81083580 sys_prctl                                                   
32bit        173                          0xffffffff8176a490 stub32_rt_sigreturn                                         
32bit        174                          0xffffffff8107fc00 compat_SyS_rt_sigaction                                     
32bit        175                          0xffffffff8107eab0 sys_rt_sigprocmask                                          
32bit        176                          0xffffffff8107ec80 compat_SyS_rt_sigpending                                    
32bit        177                          0xffffffff810ee2b0 compat_sys_rt_sigtimedwait                                  
32bit        178                          0xffffffff8107f370 compat_sys_rt_sigqueueinfo                                  
32bit        179                          0xffffffff8107feb0 SyS_rt_sigsuspend                                           
32bit        180                          0xffffffff81064430 sys32_pread                                                 
32bit        181                          0xffffffff81064450 sys32_pwrite                                                
32bit        182                          0xffffffff810e2210 SyS_chown16                                                 
32bit        183                          0xffffffff811e2ac0 sys_getcwd                                                  
32bit        184                          0xffffffff81074e30 sys_capget                                                  
32bit        185                          0xffffffff81074fb0 sys_capset                                                  
32bit        186                          0xffffffff8107f810 compat_SyS_sigaltstack                                      
32bit        187                          0xffffffff811cb320 compat_SyS_sendfile                                         
32bit        188                          0xffffffff810650f0 compat_ni_syscall                                           
32bit        189                          0xffffffff810650f0 compat_ni_syscall                                           
32bit        190                          0xffffffff8176a4d0 stub32_vfork                                                
32bit        191                          0xffffffff810ed490 compat_sys_getrlimit                                        
32bit        192                          0xffffffff81189eb0 sys_mmap_pgoff                                              
32bit        193                          0xffffffff81064270 sys32_truncate64                                            
32bit        194                          0xffffffff81064290 sys32_ftruncate64                                           
32bit        195                          0xffffffff810642b0 sys32_stat64                                                
32bit        196                          0xffffffff810642f0 sys32_lstat64                                               
32bit        197                          0xffffffff81064330 sys32_fstat64                                               
32bit        198                          0xffffffff811c89e0 sys_lchown                                                  
32bit        199                          0xffffffff81082480 sys_getuid                                                  
32bit        200                          0xffffffff810824e0 sys_getgid                                                  
32bit        201                          0xffffffff810824b0 sys_geteuid                                                 
32bit        202                          0xffffffff81082510 sys_getegid                                                 
32bit        203                          0xffffffff81081a30 SyS_setreuid                                                
32bit        204                          0xffffffff810817d0 SyS_setregid                                                
32bit        205                          0xffffffff81096c00 sys_getgroups                                               
32bit        206                          0xffffffff81096cf0 sys_setgroups                                               
32bit        207                          0xffffffff811c8a10 SyS_fchown                                                  
32bit        208                          0xffffffff81081d00 sys_setresuid                                               
32bit        209                          0xffffffff81081f10 SyS_getresuid                                               
32bit        210                          0xffffffff81081fc0 sys_setresgid                                               
32bit        211                          0xffffffff81082190 SyS_getresgid                                               
32bit        212                          0xffffffff811c89c0 sys_chown                                                   
32bit        213                          0xffffffff81081bf0 SyS_setuid                                                  
32bit        214                          0xffffffff81081950 SyS_setgid                                                  
32bit        215                          0xffffffff81082240 SyS_setfsuid                                                
32bit        216                          0xffffffff81082330 SyS_setfsgid                                                
32bit        217                          0xffffffff811ec400 SyS_pivot_root                                              
32bit        218                          0xffffffff81186a90 sys_mincore                                                 
32bit        219                          0xffffffff8117f2e0 SyS_madvise                                                 
32bit        220                          0xffffffff8121cf50 compat_sys_getdents64                                       
32bit        221                          0xffffffff8121c620 compat_sys_fcntl64                                          
32bit        222                          0xffffffff810650f0 compat_ni_syscall                                           
32bit        223                          0xffffffff810650f0 compat_ni_syscall                                           
32bit        224                          0xffffffff81082430 sys_gettid                                                  
32bit        225                          0xffffffff81064510 sys32_readahead                                             
32bit        226                          0xffffffff811ef330 sys_setxattr                                                
32bit        227                          0xffffffff811ef400 SyS_lsetxattr                                               
32bit        228                          0xffffffff811ef4d0 sys_fsetxattr                                               
32bit        229                          0xffffffff811ef5d0 SyS_getxattr                                                
32bit        230                          0xffffffff811ef660 sys_lgetxattr                                               
32bit        231                          0xffffffff811ef6f0 sys_fgetxattr                                               
32bit        232                          0xffffffff811ef7c0 SyS_listxattr                                               
32bit        233                          0xffffffff811ef850 sys_llistxattr                                              
32bit        234                          0xffffffff811ef8d0 sys_flistxattr                                              
32bit        235                          0xffffffff811ef990 SyS_removexattr                                             
32bit        236                          0xffffffff811efa60 sys_lremovexattr                                            
32bit        237                          0xffffffff811efb30 SyS_fremovexattr                                            
32bit        238                          0xffffffff8107f330 SyS_tkill                                                   
32bit        239                          0xffffffff811cb270 SyS_sendfile64                                              
32bit        240                          0xffffffff810e1420 compat_sys_futex                                            
32bit        241                          0xffffffff810ee0c0 compat_sys_sched_setaffinity                                
32bit        242                          0xffffffff810ee1e0 compat_sys_sched_getaffinity                                
32bit        243                          0xffffffff81022d00 sys_set_thread_area                                         
32bit        244                          0xffffffff81022db0 SyS_get_thread_area                                         
32bit        245                          0xffffffff8121c810 compat_sys_io_setup                                         
32bit        246                          0xffffffff81217c80 SyS_io_destroy                                              
32bit        247                          0xffffffff8121c8a0 compat_sys_io_getevents                                     
32bit        248                          0xffffffff8121cb30 compat_sys_io_submit                                        
32bit        249                          0xffffffff81217ef0 SyS_io_cancel                                               
32bit        250                          0xffffffff81064560 sys32_fadvise64                                             
32bit        251                          0xffffffff810650f0 compat_ni_syscall                                           
32bit        252                          0xffffffff8106df90 SyS_exit_group                                              
32bit        253                          0xffffffff81244e20 compat_sys_lookup_dcookie                                   
32bit        254                          0xffffffff81212ba0 sys_epoll_create                                            
32bit        255                          0xffffffff81212bc0 SyS_epoll_ctl                                               
32bit        256                          0xffffffff81213090 sys_epoll_wait                                              
32bit        257                          0xffffffff8117e630 sys_remap_file_pages                                        
32bit        258                          0xffffffff8106a080 SyS_set_tid_address                                         
32bit        259                          0xffffffff810edf50 compat_sys_timer_create                                     
32bit        260                          0xffffffff810ed990 compat_sys_timer_settime                                    
32bit        261                          0xffffffff810eda60 compat_sys_timer_gettime                                    
32bit        262                          0xffffffff8108ec20 sys_timer_getoverrun                                        
32bit        263                          0xffffffff8108edf0 SyS_timer_delete                                            
32bit        264                          0xffffffff810edaf0 compat_sys_clock_settime                                    
32bit        265                          0xffffffff810edb60 compat_sys_clock_gettime                                    
32bit        266                          0xffffffff810edca0 compat_sys_clock_getres                                     
32bit        267                          0xffffffff810edd30 compat_sys_clock_nanosleep                                  
32bit        268                          0xffffffff8121c4a0 compat_sys_statfs64                                         
32bit        269                          0xffffffff8121c500 compat_sys_fstatfs64                                        
32bit        270                          0xffffffff8107f300 sys_tgkill                                                  
32bit        271                          0xffffffff8121c300 compat_sys_utimes                                           
32bit        272                          0xffffffff81064470 sys32_fadvise64_64                                          
32bit        273                          0xffffffff810650f0 compat_ni_syscall                                           
32bit        274                          0xffffffff811a5670 SyS_mbind                                                   
32bit        275                          0xffffffff811a44c0 compat_sys_get_mempolicy                                    
32bit        276                          0xffffffff811a4130 sys_set_mempolicy                                           
32bit        277                          0xffffffff812d8c60 compat_sys_mq_open                                          
32bit        278                          0xffffffff812d7c10 SyS_mq_unlink                                               
32bit        279                          0xffffffff812d8da0 compat_sys_mq_timedsend                                     
32bit        280                          0xffffffff812d8e10 compat_sys_mq_timedreceive                                  
32bit        281                          0xffffffff812d8e80 compat_sys_mq_notify                                        
32bit        282                          0xffffffff812d8f30 compat_sys_mq_getsetattr                                    
32bit        283                          0xffffffff810eb8e0 compat_sys_kexec_load                                       
32bit        284                          0xffffffff810ed8f0 compat_SyS_waitid                                           
32bit        285                          0xffffffff810650f0 compat_ni_syscall                                           
32bit        286                          0xffffffff812dc7c0 SyS_add_key                                                 
32bit        287                          0xffffffff812dc7d0 sys_request_key                                             
32bit        288                          0xffffffff812ddfb0 SyS_keyctl                                                  
32bit        289                          0xffffffff812097e0 sys_ioprio_set                                              
32bit        290                          0xffffffff81209b00 sys_ioprio_get                                              
32bit        291                          0xffffffff8120f610 sys_inotify_init                                            
32bit        292                          0xffffffff8120f630 SyS_inotify_add_watch                                       
32bit        293                          0xffffffff8120f7b0 SyS_inotify_rm_watch                                        
32bit        294                          0xffffffff811a41b0 SyS_migrate_pages                                           
32bit        295                          0xffffffff8121d080 compat_SyS_openat                                           
32bit        296                          0xffffffff811da920 SyS_mkdirat                                                 
32bit        297                          0xffffffff811da6e0 sys_mknodat                                                 
32bit        298                          0xffffffff811c88c0 sys_fchownat                                                
32bit        299                          0xffffffff8121c240 compat_sys_futimesat                                        
32bit        300                          0xffffffff81064370 sys32_fstatat                                               
32bit        301                          0xffffffff811daa50 sys_unlinkat                                                
32bit        302                          0xffffffff811dae10 SyS_renameat                                                
32bit        303                          0xffffffff811dabc0 SyS_linkat                                                  
32bit        304                          0xffffffff811daab0 sys_symlinkat                                               
32bit        305                          0xffffffff811cf0e0 sys_readlinkat                                              
32bit        306                          0xffffffff811c87f0 sys_fchmodat                                                
32bit        307                          0xffffffff811c8280 sys_faccessat                                               
32bit        308                          0xffffffff8121d600 compat_sys_pselect6                                         
32bit        309                          0xffffffff8121d680 compat_sys_ppoll                                            
32bit        310                          0xffffffff8106a400 SyS_unshare                                                 
32bit        311                          0xffffffff810e1320 compat_sys_set_robust_list                                  
32bit        312                          0xffffffff810e1360 compat_sys_get_robust_list                                  
32bit        313                          0xffffffff811f9ea0 SyS_splice                                                  
32bit        314                          0xffffffff81064530 sys32_sync_file_range                                       
32bit        315                          0xffffffff811f9fa0 sys_tee                                                     
32bit        316                          0xffffffff811f9d70 compat_sys_vmsplice                                         
32bit        317                          0xffffffff810ee3f0 compat_sys_move_pages                                       
32bit        318                          0xffffffff81083980 SyS_getcpu                                                  
32bit        319                          0xffffffff81213180 sys_epoll_pwait                                             
32bit        320                          0xffffffff8121c190 compat_sys_utimensat                                        
32bit        321                          0xffffffff81214050 compat_SyS_signalfd                                         
32bit        322                          0xffffffff81214d20 sys_timerfd_create                                          
32bit        323                          0xffffffff81215ab0 sys_eventfd                                                 
32bit        324                          0xffffffff81064590 sys32_fallocate                                             
32bit        325                          0xffffffff81214f40 compat_sys_timerfd_settime                                  
32bit        326                          0xffffffff81214fd0 compat_sys_timerfd_gettime                                  
32bit        327                          0xffffffff81213fb0 compat_sys_signalfd4                                        
32bit        328                          0xffffffff81215a40 sys_eventfd2                                                
32bit        329                          0xffffffff81212ad0 SyS_epoll_create1                                           
32bit        330                          0xffffffff811e7aa0 SyS_dup3                                                    
32bit        331                          0xffffffff811d35c0 SyS_pipe2                                                   
32bit        332                          0xffffffff8120f590 sys_inotify_init1                                           
32bit        333                          0xffffffff811cb050 compat_SyS_preadv                                           
32bit        334                          0xffffffff811cb1c0 compat_sys_pwritev                                          
32bit        335                          0xffffffff8107f390 compat_SyS_rt_tgsigqueueinfo                                
32bit        336                          0xffffffff81150690 sys_perf_event_open                                         
32bit        337                          0xffffffff8166b300 compat_sys_recvmmsg                                         
32bit        338                          0xffffffff81210e70 SyS_fanotify_init                                           
32bit        339                          0xffffffff812114d0 compat_sys_fanotify_mark                                    
32bit        340                          0xffffffff81083300 sys_prlimit64                                               
32bit        341                          0xffffffff81227620 sys_name_to_handle_at                                       
32bit        342                          0xffffffff8121d820 compat_SyS_open_by_handle_at                                
32bit        343                          0xffffffff810edbf0 compat_sys_clock_adjtime                                    
32bit        344                          0xffffffff811fa4e0 SyS_syncfs                                                  
